LED_wavelength,Red,Green,Blue,UV
655,-0.207515,0.202386,0.0112323,0.0477127
635,-0.482492,0.536731,0.0130448,0.00509589
622,-0.705431,0.84795,0.0329738,-0.011299
592,-0.89596,1.1923,0.064822,-0.0266399
550,-1,0.816673,0.369621,0.019798
516,-0.909988,-0.275599,0.701256,0.0745068
502,-0.740618,-0.827181,0.566489,0.0769054
464,-0.385033,-0.995299,-0.58346,0.0391755
448,-0.325742,-1,-0.893753,-0.0532253
427,-0.0463125,-0.886064,-1,-0.514941
407,0.0312653,-0.540676,-0.921693,-0.898068
381,-0.146193,-0.258989,-0.880111,-0.986136
360,-0.225058,-0.134489,-0.760381,-1
